mol_id,lead_idx,mat_file,lead_smiles
150,151,FRCSO_N100_DDProblem1_M2_D_151.mat,CC(C)C[C@H]1[NH2+][C@]2(C(=O)Nc3ccc(F)cc32)[C@@H]2C(=O)N(C(C)(C)C)C(=O)[C@H]12
151,152,FRCSO_N100_DDProblem1_M2_D_152.mat,CN(C(=O)CCOc1cccc(C(N)=O)c1)[C@H]1CCC[NH+](C)C1
152,153,FRCSO_N100_DDProblem1_M2_D_153.mat,Cc1occc1C(=O)NC1CCN(C(=O)C(=O)Nc2ccc(F)cc2F)CC1
153,154,FRCSO_N100_DDProblem1_M2_D_154.mat,CC[S@](=O)[C@H]1CCCC[C@@H]1NC(=O)NC[C@H](O)c1ccco1
154,155,FRCSO_N100_DDProblem1_M2_D_155.mat,CNC(=S)N1CCCN(c2ccc(C#N)cn2)CC1
155,156,FRCSO_N100_DDProblem1_M2_D_156.mat,Cc1c(Cl)cccc1S(=O)(=O)NC[C@@H](C)CN1CC[NH+](C)CC1
156,157,FRCSO_N100_DDProblem1_M2_D_157.mat,COc1cccc(CCNC(=O)CN2CCN(c3ccccc3O)CC2)c1
157,158,FRCSO_N100_DDProblem1_M2_D_158.mat,Cc1cc(C)c2nc(C3CC3)cc(C(=O)NCCCC(=O)NC3CC3)c2c1
158,159,FRCSO_N100_DDProblem1_M2_D_159.mat,Cc1nccn1-c1cc(N2CCC(C(=O)Nc3ccc(F)c(F)c3)CC2)ncn1
159,160,FRCSO_N100_DDProblem1_M2_D_160.mat,CCN(CC)c1ccc([C@@H]2C3=C([O-])CCCC3=NC3=NC(SC)=NC(=O)[C@@H]32)cc1
160,161,FRCSO_N100_DDProblem1_M2_D_161.mat,Cc1cnn(CCCCC[NH+]2CCN(c3ccc(O)cc3)CC2)c1
161,162,FRCSO_N100_DDProblem1_M2_D_162.mat,O=C(Nc1ccc(O)cc1)c1ccsc1
162,163,FRCSO_N100_DDProblem1_M2_D_163.mat,C[C@@H](OC(=O)[C@@H]1C[C@@H]1c1ccc(OC(F)(F)F)cc1)c1ccccn1
163,164,FRCSO_N100_DDProblem1_M2_D_164.mat,O=C(Cc1ccc(N2CCCC2=O)cc1)Nn1cnc2ccccc2c1=O
164,165,FRCSO_N100_DDProblem1_M2_D_165.mat,CCO[C@@H]1C[C@@H]([NH+](C)C[C@@H]2CCCN(S(C)(=O)=O)C2)C12CCCCC2
165,166,FRCSO_N100_DDProblem1_M2_D_166.mat,CC[NH2+][C@H](Cc1ncnn1C)C1([NH+]2CCCC2)CCCC1
166,167,FRCSO_N100_DDProblem1_M2_D_167.mat,Oc1cccc([C@@H]2CN(c3nccc(Oc4ccc(F)cc4)n3)CCO2)c1
167,168,FRCSO_N100_DDProblem1_M2_D_168.mat,CC(=O)NCCn1c(SCC(=O)[O-])nc2cccnc21
168,169,FRCSO_N100_DDProblem1_M2_D_169.mat,Cc1cc(C)c2nc(N3CCN(C(=O)[C@@H]4CCCCN4S(C)(=O)=O)CC3)sc2c1
169,170,FRCSO_N100_DDProblem1_M2_D_170.mat,Cc1cnn(CCCNC(=O)N2CCCC[C@H](N3CC[NH+](C)CC3)C2)c1
170,171,FRCSO_N100_DDProblem1_M2_D_171.mat,CN(Cc1nc2c(s1)CCCC2)C(=O)[C@@H]1CCN(c2ccccc2)C1=O
171,172,FRCSO_N100_DDProblem1_M2_D_172.mat,CCc1nnc(NC(=O)c2ccc(Oc3cccc(C)c3)cc2)s1
172,173,FRCSO_N100_DDProblem1_M2_D_173.mat,CC[C@@H]([NH2+][C@@H]1C[C@H](c2ccccc2)Oc2ccccc21)c1c(C)noc1C
173,174,FRCSO_N100_DDProblem1_M2_D_174.mat,CC[NH2+]Cc1c(C)nn(C)c1N1CCN2C(=O)NC[C@@H]2C1
174,175,FRCSO_N100_DDProblem1_M2_D_175.mat,C=CCOc1c(Br)cc(CN(C)[C@H]2CC[NH+](C)[C@H](C)C2)cc1OC
175,176,FRCSO_N100_DDProblem1_M2_D_176.mat,COc1cccc(COc2ccc(OC)cc2CCl)c1
176,177,FRCSO_N100_DDProblem1_M2_D_177.mat,C[C@H](CCc1ccccc1F)[NH2+]CCc1nc2cc(F)ccc2n1C
177,178,FRCSO_N100_DDProblem1_M2_D_178.mat,O=C(Cn1c(=O)oc2cc(Cl)ccc21)N1CCC[C@@H]1c1cccs1
178,179,FRCSO_N100_DDProblem1_M2_D_179.mat,[NH3+][C@H](Cc1ccc(O)cc1)c1ncccn1
179,180,FRCSO_N100_DDProblem1_M2_D_180.mat,CCOC(=O)NCCC(=O)N[C@H]1CCc2c(O)cccc21
