mol_id,lead_idx,mat_file,lead_smiles
50,51,FRCSO_N100_DDProblem1_M2_D_51.mat,CC(C)(C)C(=O)N1CCC[NH+](C[C@H](O)COCc2ccccc2Cl)CC1
51,52,FRCSO_N100_DDProblem1_M2_D_52.mat,C=CCn1c(=O)c2c(nc3n2[C@H](C)C(C)=NN3C)n(C)c1=O
52,53,FRCSO_N100_DDProblem1_M2_D_53.mat,COc1ccc(C(=O)CCCC2OCC(C)(C)CO2)cc1OC
53,54,FRCSO_N100_DDProblem1_M2_D_54.mat,COc1ccccc1[C@@H](NC(=O)c1ccc2nncn2c1)C(C)(C)C
54,55,FRCSO_N100_DDProblem1_M2_D_55.mat,C#CCN(CC(=O)[O-])C(=O)N(C)[C@H](C)c1cccs1
55,56,FRCSO_N100_DDProblem1_M2_D_56.mat,CCc1c(C(=O)Nc2ccc3c(c2)NC(=O)CS3)[nH]c(C)c1C(C)=O
56,57,FRCSO_N100_DDProblem1_M2_D_57.mat,Cc1cc(F)ccc1S(=O)(=O)Nc1ccc2oc(C)c(C(=O)[O-])c2c1
57,58,FRCSO_N100_DDProblem1_M2_D_58.mat,C[NH+](C)CCOc1ccc(CNC(=O)[C@@H]2COc3ccc(F)cc3C2)cc1
58,59,FRCSO_N100_DDProblem1_M2_D_59.mat,COc1ccccc1N1C[C@@H](C(=O)NN2C(=O)NC3(CCCCC3)C2=O)CC1=O
59,60,FRCSO_N100_DDProblem1_M2_D_60.mat,O=C([O-])[C@H]1C=C[C@H](NS(=O)(=O)c2ccc3c(c2)CCO3)C1
60,61,FRCSO_N100_DDProblem1_M2_D_61.mat,CC(C)(C)NC(=O)CNC(=O)Nc1cnn(CC(F)F)c1
61,62,FRCSO_N100_DDProblem1_M2_D_62.mat,CCCN(C(=O)c1ccc(CNC(C)=O)cc1)c1cccc2ccccc12
62,63,FRCSO_N100_DDProblem1_M2_D_63.mat,Cc1c(NP(=O)(C(C)(C)C)C(C)(C)C)c(=O)n(-c2ccccc2)n1C
63,64,FRCSO_N100_DDProblem1_M2_D_64.mat,CCc1nn(C)cc1NC(=O)NCc1ccccc1OCCO
64,65,FRCSO_N100_DDProblem1_M2_D_65.mat,O=C(Nc1ccc2c(c1)COC2)C(=O)N[C@@H]1CCOC2(CCCCC2)C1
65,66,FRCSO_N100_DDProblem1_M2_D_66.mat,CCOC(=O)C1=C(C)NC(=O)N[C@H]1c1cc(OC)ccc1O
66,67,FRCSO_N100_DDProblem1_M2_D_67.mat,O=C(N[C@H]1CC(=O)N(c2cccc(F)c2)C1)c1cc2ccccc2oc1=O
67,68,FRCSO_N100_DDProblem1_M2_D_68.mat,COc1ccccc1NC(=O)c1cc2c(cc1Cl)N1CCCCCC1=NS2(=O)=O
68,69,FRCSO_N100_DDProblem1_M2_D_69.mat,O=C1N(Cc2cccc(F)c2)c2ccccc2[C@]1(O)c1cccc(F)c1
69,70,FRCSO_N100_DDProblem1_M2_D_70.mat,COc1cccc([C@@H](C)[NH2+]CCOc2ncccc2Cl)c1
70,71,FRCSO_N100_DDProblem1_M2_D_71.mat,O=C(/C=C/c1ccco1)N1CC[C@@H]2CCCC[C@@H]21
71,72,FRCSO_N100_DDProblem1_M2_D_72.mat,CC(=O)c1ccc(Oc2ccc(C(=O)NC[C@H]3CC[NH+](C)C3)cc2)cc1
72,73,FRCSO_N100_DDProblem1_M2_D_73.mat,Cc1ccccc1Nc1nc(N)nc(COc2ccc(F)c(Cl)c2)n1
73,74,FRCSO_N100_DDProblem1_M2_D_74.mat,CNC(=O)c1nn(CN2CCN(c3cccc(C)c3C)CC2)c(=O)c2ccccc12
74,75,FRCSO_N100_DDProblem1_M2_D_75.mat,NC(=O)c1c(F)cccc1Nc1cccc(N)c1
75,76,FRCSO_N100_DDProblem1_M2_D_76.mat,Cc1ccc(C2=NN(C(=O)C[NH+]3CCC4(CC3)OCCO4)[C@H](c3ccccc3Cl)C2)c(C)c1
76,77,FRCSO_N100_DDProblem1_M2_D_77.mat,COc1cccc(O[C@@H]2CC[C@H]([NH3+])C2)n1
77,78,FRCSO_N100_DDProblem1_M2_D_78.mat,CS(=O)(=O)c1ccc(F)c(S(=O)(=O)[N-]c2cccc(NC(=O)C3CC3)c2)c1
78,79,FRCSO_N100_DDProblem1_M2_D_79.mat,Cc1nnc(Cc2ccc(NC(=O)c3ccc(N4CCOCC4)cc3)cc2)o1
79,80,FRCSO_N100_DDProblem1_M2_D_80.mat,O=C(NC1CCCCCC1)N[C@H]1CCSc2c(F)cccc21
80,81,FRCSO_N100_DDProblem1_M2_D_81.mat,CC(C)C[NH2+]C[C@H]1CCCO[C@H]1[C@H]1CC=CCC1
81,82,FRCSO_N100_DDProblem1_M2_D_82.mat,O=C(NCCCN1CCOCC1)c1nc(-c2cnccn2)no1
82,83,FRCSO_N100_DDProblem1_M2_D_83.mat,CN1CCN(S(=O)(=O)c2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc2F)CC1
83,84,FRCSO_N100_DDProblem1_M2_D_84.mat,Cc1ccc([C@]2(C)NC(=O)N(CC(=O)Nc3cccc(OC(F)(F)F)c3)C2=O)cc1
84,85,FRCSO_N100_DDProblem1_M2_D_85.mat,O=C([O-])c1ccc(-c2ccncc2)cn1
85,86,FRCSO_N100_DDProblem1_M2_D_86.mat,Cc1sc2ncn(CC(=O)N[C@@H](c3ccccc3)C(C)C)c(=O)c2c1C
86,87,FRCSO_N100_DDProblem1_M2_D_87.mat,C[C@H](NC(=O)c1cc(-c2ccco2)[nH]n1)c1ccc(Cl)s1
87,88,FRCSO_N100_DDProblem1_M2_D_88.mat,COc1ccc(C[NH+]2CCc3nnc([C@@H](C)NC(=O)C(C)C)n3CC2)cc1OC
88,89,FRCSO_N100_DDProblem1_M2_D_89.mat,CCCCn1c(N)c(N(C)C(=O)CSc2ccc(F)cc2)c(=O)[nH]c1=O
89,90,FRCSO_N100_DDProblem1_M2_D_90.mat,O=C(Cl)COc1ccc2c(c1)CCC2
90,91,FRCSO_N100_DDProblem1_M2_D_91.mat,CCN(CCc1nccs1)C(=O)Nc1cncc2ccccc12
91,92,FRCSO_N100_DDProblem1_M2_D_92.mat,Cc1cc(NC(=O)[C@H]2CCOc3ccccc32)c2ncccc2c1
92,93,FRCSO_N100_DDProblem1_M2_D_93.mat,CC[C@]1(c2ccccc2)NC(=O)N(CCOc2ccc(Cl)cc2Cl)C1=O
93,94,FRCSO_N100_DDProblem1_M2_D_94.mat,CCOC(=O)C(C)(C)c1nc(-c2ccccc2)no1
94,95,FRCSO_N100_DDProblem1_M2_D_95.mat,C[NH2+]C[C@@H]1C[C@@H]1c1c(F)cccc1Cl
95,96,FRCSO_N100_DDProblem1_M2_D_96.mat,O=S(=O)(NC[C@H](O)c1ccc(C(F)(F)F)cc1)c1cc(F)ccc1F
96,97,FRCSO_N100_DDProblem1_M2_D_97.mat,Cc1ccc(S(=O)(=O)N2CCCC[C@@H]2CCNC(=O)Cc2ccc(Cl)cc2)cc1
97,98,FRCSO_N100_DDProblem1_M2_D_98.mat,CC[C@H](C#N)Oc1ccc(CO)nc1
98,99,FRCSO_N100_DDProblem1_M2_D_99.mat,Cc1ccc(NC(=O)[C@@H]2CCCCC[C@H]2[NH3+])c(F)c1
99,100,FRCSO_N100_DDProblem1_M2_D_100.mat,COc1ccc(CNC(=O)NC[C@@H](C)[NH+]2CCc3sccc3C2)cn1
