SMILES,mol_id,qed,sim
CS(=O)[C@@H]1CCC[C@H]1C(=O)N[C@@H]1CCCc2ccccc21,100,0.9330896233604673,0.42424242424242425
CC(F)C(=O)N1CCC[C@H]1C(=O)N[C@@H]1CCCc2ccccc21,100,0.9308673375883081,0.546875
CC(F)(F)C(=O)N1CCC[C@H]1C(=O)N[C@@H]1CCCc2ccccc21,100,0.9226667056226646,0.6229508196721312
O=C(N[C@@H]1CCCc2ccccc21)[C@@H]1CCCN1C(=O)CF,100,0.9299033614235714,0.5737704918032787
CS(=O)[C@@H]1CCCC1C(=O)N[C@@H]1CCCc2ccccc21,100,0.9330896233604673,0.42424242424242425
CS(=O)N1CCC[C@H]1C(=O)N[C@@H]1CCCc2ccccc21,100,0.9275748110342693,0.5483870967741935
O=C(N[C@@H]1CCCc2ccccc21)[C@@H]1CCCN1C(=O)CC(F)F,100,0.9190879610169408,0.5384615384615384
O=C(N[C@@H]1CCCc2ccccc21)[C@@H]1CCCN1C(=O)C(F)F,100,0.9290813184257434,0.5645161290322581
CS(=O)[C@@H]1CCC[C@H]1C(=O)N[C@@H]1CCCc2ccncc21,100,0.9303562620555291,0.3108108108108108
O=C(CSC1=[N+]N=CC1)Nc1ccccc1C(F)(F)F,101,0.9323101030656934,0.46153846153846156
O=C(CSC1=[N+]CCC1)Nc1ccccc1C(F)(F)F,101,0.9326977566410279,0.4461538461538462
O=C(CSC1=NN=CC1)Nc1ccccc1C(F)(F)F,101,0.9320190569780384,0.49206349206349204
O=C(CSC1=CN=CC1)Nc1ccccc1C(F)(F)F,101,0.921015020897554,0.46875
O=C(CSC1=[N+]N=CC1)Nc1ccccc1CF,101,0.9042965575083638,0.323943661971831
CSC=C[NH2+]Cc1nc(C)c(Br)s1,102,0.9150648523507605,0.35555555555555557
CNC(=O)C1=CCC(C)CC(Cc2nc(C(C)(C)C)co2)=NN1C,102,0.9237580189076131,0.0821917808219178
Cn1nc(C(C)(C)C)cc1C(=O)NCCc1nc(C(C)(C)C)co1,102,0.9339868547578587,0.07462686567164178
CNC(=O)C1=CCC(C)CC(Cc2nc(C(C)(C)C)co2)CN1C,102,0.9231524378182164,0.0958904109589041
