mol_id,individual_id,lead_smiles,smiles,qed,sim,sa,logp,mw,is_valid,source
187,44,Cc1ccccc1[C@@H]1C[C@H](C)N(C(=O)c2ccc(-n3ccnn3)cc2)C1,Cc1ccc2cc1[C](CC1NC(=O)O[C]C=C1n1cccn1)C2,0.948382,0.188235,5.251,2.7486,306.35,True,final_batch
187,24,Cc1ccccc1[C@@H]1C[C@H](C)N(C(=O)c2ccc(-n3ccnn3)cc2)C1,Cc1ccc2cc1[C@H](CC1NC(=O)O[C]C=C1n1cccn1)C2,0.948321,0.214286,5.41,2.9096,307.35,True,final_batch
156,46,COc1cccc(CCNC(=O)CN2CCN(c3ccccc3O)CC2)c1,Cc1cc(C)n2nc(C3CC3)c(C(=O)NC=C3COC3)c2c1C,0.94807,0.114943,3.4056,2.7809,311.39,True,final_batch
186,31,CC[C@@H](c1ccccc1)[C@H]1N=N/C(=N/C(=O)Nc2ccc(OC)cc2)S1,Cc1ccccc1OC1C2CNN1C(=O)c1ccn(C(C)C)c12,0.947924,0.113636,4.7892,2.8401,311.39,True,final_batch
186,0,CC[C@@H](c1ccccc1)[C@H]1N=N/C(=N/C(=O)Nc2ccc(OC)cc2)S1,Cc1ccccc1OC1CCNN1C(=O)c1ccn2c1CC2C,0.947769,0.136364,3.9456,2.6692,311.39,True,final_batch
199,1,C[C@@H]1CCCC[C@H]1NC(=S)N1CCOCC1,CC(C)Cn1ccc(C2(O)CCc3ccncc3N2C)c1F,0.947685,0.053333,3.7038,2.9059,303.38,True,final_batch
151,9,CN(C(=O)CCOc1cccc(C(N)=O)c1)[C@H]1CCC[NH+](C)C1,Cc1cccc(NC(=O)[C@@H]2[CH]CCN2C(=O)c2ccoc2C)c1,0.947659,0.137931,3.2011,2.9539,311.36,True,final_batch
183,35,Cc1ccc(CCN(C)CC[NH+]2CCCC2)cc1,CCc1ccc(N2CCCCC(N)(c3nccn3C)C2)cc1,0.94759,0.136364,3.0173,2.827,298.43,True,final_batch
156,12,COc1cccc(CCNC(=O)CN2CCN(c3ccccc3O)CC2)c1,Cc1cc(C)n2nc(C3CC3)c(C(=O)NC3CCOC3)c2c1C,0.947575,0.126437,3.3306,2.6557,313.4,True,final_batch
167,27,CC(=O)NCCn1c(SCC(=O)[O-])nc2cccnc21,Cc1cccc2nc(NC(=O)C3CCCCN3C3C=N3)sc12,0.947528,0.175,3.4184,2.8082,314.41,True,final_batch
170,24,CN(Cc1nc2c(s1)CCCC2)C(=O)[C@@H]1CCN(c2ccccc2)C1=O,O=C1[C@H]2Nc3ccccc3C2CN1Cc1ncc(CF)s1,0.947508,0.216867,3.8361,2.5327,303.36,True,final_batch
185,27,C[C@@H](CNC(=O)N[C@@H](C)c1ccc(S(C)(=O)=O)cc1)C[C@@H](C)O,CCn1sc(Cl)nc1=NC(=O)Nc1ccc(O[11CH3])cc1,0.947319,0.121622,3.043,2.7593,311.78,True,final_batch
163,1,O=C(Cc1ccc(N2CCCC2=O)cc1)Nn1cnc2ccccc2c1=O,CCCNN1CCCCc2cc3c(c(c2)C3)CN=S1(C)=O,0.94726,0.160494,5.7832,2.6565,307.46,True,final_batch
160,35,Cc1cnn(CCCCC[NH+]2CCN(c3ccc(O)cc3)CC2)c1,O=C(NC1C=CC(C2CCCS2)=CC1)c1ccnc2c1C2,0.947175,0.095238,4.2263,2.8661,298.41,True,final_batch
187,22,Cc1ccccc1[C@@H]1C[C@H](C)N(C(=O)c2ccc(-n3ccnn3)cc2)C1,Cc1ccc2cc1[C@H](CC1NC(=O)CCC=C1n1ccnn1)C2,0.947153,0.278481,4.8878,2.436,308.39,True,final_batch
186,44,CC[C@@H](c1ccccc1)[C@H]1N=N/C(=N/C(=O)Nc2ccc(OC)cc2)S1,Cc1ccccc1C1CN(C(=O)c2ccn(C(C)C)c2)OCN1,0.94714,0.137931,3.6258,3.0532,313.4,True,final_batch
171,8,CCc1nnc(NC(=O)c2ccc(Oc3cccc(C)c3)cc2)s1,CCc1onc(C)c1C1C([NH2+])CC(c2ccccc2)COC1C,0.947118,0.135802,4.3515,2.6179,314.43,True,final_batch
151,11,CN(C(=O)CCOc1cccc(C(N)=O)c1)[C@H]1CCC[NH+](C)C1,Cc1occc1C(=O)N1CC[CH][C@H]1C(=O)Nc1cccc(F)c1,0.947113,0.147727,3.2272,2.7846,315.32,True,final_batch
180,50,C[C@@H]1CN(Cc2cnc3cnccn23)[C@H](c2ccccc2)CO1,CC1CN(Cc2cnccncc[nH]2)[C](c2ccccc2)CO1,0.946984,0.362319,3.8225,2.7301,309.39,True,final_batch
180,26,C[C@@H]1CN(Cc2cnc3cnccn23)[C@H](c2ccccc2)CO1,CC1CN(Cc2cnccncc[nH]2)C(c2c[c]ccc2)CO1,0.946922,0.455882,4.7419,2.6913,309.39,True,final_batch
180,45,C[C@@H]1CN(Cc2cnc3cnccn23)[C@H](c2ccccc2)CO1,CC1CN(Cc2cnccncc[nH]2)C(c2ccccc2)CO1,0.946895,0.566667,3.7423,2.8911,310.4,True,final_batch
180,48,C[C@@H]1CN(Cc2cnc3cnccn23)[C@H](c2ccccc2)CO1,C[C@@H]1CN(Cc2cnccncc[nH]2)C(c2ccccc2)CO1,0.946895,0.566667,3.7423,2.8911,310.4,True,final_batch
161,33,O=C(Nc1ccc(O)cc1)c1ccsc1,CC=C1C(c2cccnc2)=CCCN1C(=O)c1c[nH]nc1CC,0.94684,0.093333,3.4299,3.2004,308.39,True,final_batch
175,28,COc1cccc(COc2ccc(OC)cc2CCl)c1,CC([NH3+])C1CCSC1c1ncc2cccc-2n1C(F)F,0.946802,0.098592,4.683,2.8076,298.38,True,final_batch
164,32,CCO[C@@H]1C[C@@H]([NH+](C)C[C@@H]2CCCN(S(C)(=O)=O)C2)C12CCCCC2,CNC1(c2ccncc2C)Cc2c(nnn2C2CCCC2)C1C,0.946775,0.103448,4.1512,2.8711,311.43,True,final_batch
151,45,CN(C(=O)CCOc1cccc(C(N)=O)c1)[C@H]1CCC[NH+](C)C1,Cc1cccc(NC(=O)[C@@H]2CCCN2C(=O)c2ccoc2C)c1,0.946772,0.164706,2.4789,3.1397,312.37,True,final_batch
164,43,CCO[C@@H]1C[C@@H]([NH+](C)C[C@@H]2CCCN(S(C)(=O)=O)C2)C12CCCCC2,CNC1(c2ccncc2C)Cc2ncn(C3CCCC3)c2C1,0.946763,0.105882,3.7269,2.9151,296.42,True,final_batch
199,18,C[C@@H]1CCCC[C@H]1NC(=S)N1CCOCC1,Cc1c(C2(O)CCc3ccncc3N2C)ccn1CC(C)C,0.946725,0.054054,3.6241,3.0752,299.42,True,final_batch
151,18,CN(C(=O)CCOc1cccc(C(N)=O)c1)[C@H]1CCC[NH+](C)C1,Cc1occc1C(=O)N1CCC[C@H]1C(=O)Nc1cccc(F)c1,0.94668,0.174419,2.505,2.9704,316.33,True,final_batch
156,47,COc1cccc(CCNC(=O)CN2CCN(c3ccccc3O)CC2)c1,Cc1cc(C)n2nc(C3CC3)c(C(=O)NC=C3COC3)c2c1,0.946609,0.129412,3.4034,2.4724,297.36,True,final_batch
161,97,O=C(Nc1ccc(O)cc1)c1ccsc1,C=C1C(c2cccnc2)=CCCN1C(=O)c1c[nH]nc1CC,0.946509,0.09589,3.3468,2.8103,294.36,True,final_batch
166,31,Oc1cccc([C@@H]2CN(c3nccc(Oc4ccc(F)cc4)n3)CCO2)c1,O=C1CCCCc2cc(c(F)c(OCc3ccccn3)n2)N1,0.946507,0.176471,3.9307,2.8596,301.32,True,final_batch
