mol_id,individual_id,lead_smiles,smiles,qed,sim,sa,logp,mw,is_valid,source
121,38,COc1ccc(SCC(=O)Nc2ccc(N3CC[NH+](C)CC3)c(F)c2)cc1,COc1[nH]cc(C(=O)N2CCCN(c3cccs3)C2)c1C,0.948272,0.162791,3.075,2.7032,305.4,True,final_batch
140,10,Cc1ccc(CN(C(=O)N[C@H](C)c2nnc3ccccn23)C2CC2)cc1C,CC(NC(=O)[C@@H]1CC2=CC=CCC2C1)c1nnc2ccccn12,0.948254,0.44,3.8952,2.819,308.38,True,final_batch
139,49,Cc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2N2CCCC2)cc1,Cc1ccc(CNC(=O)N2C=CC(c3ncc(C)cn3)C2)cc1,0.948211,0.188406,3.2538,2.9161,308.39,True,final_batch
139,35,Cc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2N2CCCC2)cc1,Cc1ccc(CNC(=O)N2CC=C(c3ncc(C)cn3)C2)cc1,0.9482,0.191176,2.4508,2.7022,308.39,True,final_batch
115,5,C[NH+]1CCC(NC(=O)C(=O)Nc2ccc(OC3CCCC3)cc2)CC1,CC(F)(F)C1CCN(NC(=O)c2cccc3cccnc23)C1,0.948178,0.142857,3.087,2.8567,305.33,True,final_batch
139,16,Cc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2N2CCCC2)cc1,Cc1ccc(CNC(=O)N2CCC(c3ncc(C)cn3)C2)cc1,0.948128,0.223881,2.6441,2.7925,310.4,True,final_batch
113,16,O=c1n(CCO)c2ccccc2n1CCO,COc1ccc2c(c1)CC(NC(=O)C1CCCC1)n1ccnc1-2,0.947977,0.092308,3.1169,2.9198,311.38,True,final_batch
140,43,Cc1ccc(CN(C(=O)N[C@H](C)c2nnc3ccccn23)C2CC2)cc1C,C[C@@H](NC(=O)[C@@H]1CC2=CC=CC1C=C2)c1nnc2ccccn12,0.947953,0.465753,4.7837,2.595,306.37,True,final_batch
116,88,O=C(NNc1cccc(C(F)(F)F)c1)c1cccc2cccnc12,CC(F)C1=NN(NC(=O)c2cccc3cccnc23)C=CC=C1,0.947931,0.384615,3.6676,2.9791,310.33,True,final_batch
110,48,COC[C@@H](C)NC(=O)N[C@@H](C(N)=O)c1ccccc1,CC(=O)n1c2ccccc2n1C(=O)N[S](C)[CH]OCl,0.947747,0.180328,3.9244,2.764,301.75,True,final_batch
140,57,Cc1ccc(CN(C(=O)N[C@H](C)c2nnc3ccccn23)C2CC2)cc1C,CC=CC=C1CCN(C(=O)N[C@H](C)c2nnc3ccccn23)C1,0.947731,0.407895,3.4213,2.7081,311.39,True,final_batch
122,7,C[C@@H](COc1ccccc1)OC(=O)[C@H]1CCCN(C(=O)c2cccs2)C1,CCN1CC2(C(=O)Nc3ccsn3)CC1c1ccccc12,0.947651,0.172414,4.6554,2.7999,299.4,True,final_batch
118,7,C[C@@H]1CCC[C@@H]1[NH2+][C@@H]1CCCS[C@@H]1C,CCC1Cc2ccc(cc2CC2CC2)CNC(=O)n2ncnc21,0.947649,0.057143,4.8728,3.0382,310.4,True,final_batch
137,1,O=C(NCCNS(=O)(=O)c1cccc(Cl)c1)C12CC3CC(CC(C3)C1)C2,CCCCn1c2c([nH]c(=O)c3ccccc3sc1=O)CO2,0.947576,0.085366,3.2172,2.5682,304.37,True,final_batch
123,89,O=C1O[C@H](C(=O)Nc2ccnc3ccnn23)Cc2ccccc21,CNC(=O)C1CCN(C(C)c2ccc3ncccc3c2)CC1C,0.94756,0.182927,3.3163,2.9998,311.43,True,final_batch
113,8,O=c1n(CCO)c2ccccc2n1CCO,CCC1(c2cccc(OC)c2)Cn2cncc2CCCC(=O)N1,0.94755,0.121212,3.8998,2.6497,313.4,True,final_batch
110,67,COC[C@@H](C)NC(=O)N[C@@H](C(N)=O)c1ccccc1,CC(=O)n1c2ccccc2n1C(=O)N[S](C)COCl,0.947518,0.2,3.8299,2.6022,302.76,True,final_batch
141,12,O=C(Nc1cccc2ccccc12)NC1CC[NH+](CC(F)F)CC1,CC(F)CN1C[C]N(C(=O)Nc2cccc3ccncc23)CC1,0.947518,0.310811,3.8034,2.7811,314.36,True,final_batch
122,46,C[C@@H](COc1ccccc1)OC(=O)[C@H]1CCCN(C(=O)c2cccs2)C1,CCN1CC(C(=O)Nc2ccsn2)CC12c1ccccc12,0.947516,0.207317,4.3146,2.6806,299.4,True,final_batch
116,38,O=C(NNc1cccc(C(F)(F)F)c1)c1cccc2cccnc12,O=C(NN1C=CC=CC(C(F)F)=N1)c1cccc2cccnc12,0.94751,0.396825,3.2563,2.8862,314.3,True,final_batch
142,4,Cc1cc(C)c(NC(=O)c2cc3ccccc3n2C)c(C)c1,CC1CC(c2ccccn2)CCC1N(C)C(=O)c1ccn[nH]1,0.947466,0.123288,3.6756,2.8491,298.39,True,final_batch
128,81,CC[NH+](CC)c1ccc(/C=C2\Oc3c(ccc(OCC(N)=O)c3C)C2=O)cc1,Cc1ccsc1CNC(=O)c1ncn2c1CCC1CC1C2,0.947331,0.122222,3.6757,2.7653,301.42,True,final_batch
134,23,O=C1NCCN(C(=O)CCc2ccccc2)[C@@H]1CC(=O)N1CCN(c2ccccc2)CC1,O=C1Cc2ccccc2-n2c3cc1c2[C@H]3CC[C@@H]1CCNC1=O,0.947322,0.233766,5.0864,2.5777,306.37,True,final_batch
123,40,O=C1O[C@H](C(=O)Nc2ccnc3ccnn23)Cc2ccccc21,CNC(=O)C1CCN(C(C)c2ccc3ncccc3c2)CC1,0.947246,0.194805,2.5463,2.7538,297.4,True,final_batch
133,12,Cc1ccc(NC(=O)CNc2ccc(C(=O)N3C[C@@H](C)O[C@H](C)C3)cc2)c(Br)c1,Cc1ccccc1C(=O)N1CC(Cc2ccccc2F)NC1=O,0.947153,0.177215,2.8169,2.9108,312.34,True,final_batch
118,33,C[C@@H]1CCC[C@@H]1[NH2+][C@@H]1CCCS[C@@H]1C,Cc1ccc(CNC(=O)n2nc3nc2CC3)cc1C1CCC1,0.947059,0.106061,3.6567,2.7105,296.37,True,final_batch
133,22,Cc1ccc(NC(=O)CNc2ccc(C(=O)N3C[C@@H](C)O[C@H](C)C3)cc2)c(Br)c1,Cc1ccccc1CC1CN(C(=O)c2ccccc2C)C(=O)N1,0.94705,0.186667,2.8018,3.0801,308.38,True,final_batch
141,19,O=C(Nc1cccc2ccccc12)NC1CC[NH+](CC(F)F)CC1,CC(F)CN1CCN(C(=O)Nc2cccc3ccncc23)CC1,0.947033,0.352941,2.7555,2.7423,316.38,True,final_batch
128,18,CC[NH+](CC)c1ccc(/C=C2\Oc3c(ccc(OCC(N)=O)c3C)C2=O)cc1,Cc1ccsc1CNC(=O)c1ncn2c1CCC13CC1C23,0.94695,0.130435,4.5911,2.6902,299.4,True,final_batch
128,83,CC[NH+](CC)c1ccc(/C=C2\Oc3c(ccc(OCC(N)=O)c3C)C2=O)cc1,Cc1ccsc1CNC(=O)c1ncn2c1CCCC=CC2=O,0.946942,0.131868,2.9813,2.7157,315.4,True,final_batch
104,15,COc1ccc(CCNC(=O)[C@@H]2CCCN2C(=O)Nc2cccc(OC)c2)cc1,COC1CN(C(=O)c2cccn2C)[CH]CCC1c1ccc[nH]1,0.946806,0.159091,4.2081,2.5498,300.38,True,final_batch
123,44,O=C1O[C@H](C(=O)Nc2ccnc3ccnn23)Cc2ccccc21,CNC(=O)C1C=CN(C(C)c2ccc3ncccc3c2)CC1,0.946759,0.2,3.7055,2.8774,295.39,True,final_batch
104,42,COc1ccc(CCNC(=O)[C@@H]2CCCN2C(=O)Nc2cccc(OC)c2)cc1,COC1C(c2ccc[nH]2)CCCN(C(=O)c2cccn2C)C1C,0.946657,0.22619,3.8652,2.7765,315.42,True,final_batch
133,88,Cc1ccc(NC(=O)CNc2ccc(C(=O)N3C[C@@H](C)O[C@H](C)C3)cc2)c(Br)c1,O=C1NC(Cc2ccccc2F)CN1C(=O)c1ccccc1,0.946632,0.186667,2.7248,2.6024,298.32,True,final_batch
132,32,COc1cc([C@@H]2NC(=O)c3cccnc3N2)ccc1O,Cc1ccc(Nc2ccccc2C(=O)N2CCOC(C)C2)nc1,0.946555,0.125,2.574,2.9945,311.39,True,final_batch
127,24,CCc1cccc(S(=O)(=O)Nc2cccc(-c3nnnn3C)c2)c1,CCc1c(C=C2CCc3c2ccc(OC)c3C)nc[nH]c1=O,0.946392,0.13253,2.9873,3.1361,296.37,True,final_batch
126,4,COc1ccc(CNC(=O)c2cc(N3C(=O)C(C)(C)CS3(=O)=O)ccc2Cl)cc1OC,Cc1ccc2c(S(=O)(=O)NC3=CCCC(C)(C)OC3)c1-2,0.946385,0.103448,3.2965,2.7266,293.39,True,final_batch
128,33,CC[NH+](CC)c1ccc(/C=C2\Oc3c(ccc(OCC(N)=O)c3C)C2=O)cc1,Cc1ccsc1CNC(=O)c1ncn2c1CCCCCC2=O,0.946383,0.137931,2.715,2.9397,317.41,True,final_batch
139,33,Cc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2N2CCCC2)cc1,Cc1ccc(CN2NCCCN(c3ncc(C)n3C)C2=O)cc1,0.94633,0.231884,2.9411,2.3738,313.41,True,final_batch
149,32,COc1ccc2nc(Nc3ccc4c(c3)CCC4)sc2c1,COC1=CC2=c3nc(Nc4ccc5c(c4)CCC5)sc3=C1C2,0.946309,0.517241,3.996,2.6244,308.41,True,final_batch
105,25,CCOC(=O)[C@]1(Cc2cccc(Cl)c2)CCCN(C(=O)c2ccnn2C)C1,COc1ccc2c(c1)O[NH+]N2Cc1cccc2c1C(C)(C)CC2,0.946282,0.166667,3.4441,2.4972,310.4,True,final_batch
138,27,COC(=O)c1c(NC(=O)c2cccc(OC)c2)sc(C(=O)NC(C)C)c1C,O=S1(=O)N=NCC=CC=C(NCC2CC2)c2cc1cc1c2C1,0.946242,0.05814,5.1575,2.642,315.4,True,final_batch
140,45,Cc1ccc(CN(C(=O)N[C@H](C)c2nnc3ccccn23)C2CC2)cc1C,CC(NC(=O)[C@H]1CC2C3=CC=CC2C31)c1nnc2ccccn12,0.946215,0.421053,5.2671,2.2848,306.37,True,final_batch
133,78,Cc1ccc(NC(=O)CNc2ccc(C(=O)N3C[C@@H](C)O[C@H](C)C3)cc2)c(Br)c1,Cc1ccccc1CC1CN(C(=O)c2ccccc2)C(=O)N1,0.946006,0.219178,2.7092,2.7717,294.35,True,final_batch
113,9,O=c1n(CCO)c2ccccc2n1CCO,CCC1(c2cccc(OC)c2)Cn2cncc2CN(C)C(=O)N1,0.945866,0.140625,3.6052,2.3522,314.39,True,final_batch
