mol_id,individual_id,lead_smiles,smiles,qed,sim,sa,logp,mw,is_valid,source
90,83,CCN(CCc1nccs1)C(=O)Nc1cncc2ccccc12,CCN1C=C(C(=O)Nc2cncc3ccccc23)C(=NC)CC1,0.9483,0.375,2.9821,2.8536,308.39,True,final_batch
69,4,COc1cccc([C@@H](C)[NH2+]CCOc2ncccc2Cl)c1,COc1cccc2c1C(Oc1ncccc1Cl)C[CH]C2[NH3+],0.948286,0.313433,4.0362,2.7547,304.78,True,final_batch
59,31,O=C([O-])[C@H]1C=C[C@H](NS(=O)(=O)c2ccc3c(c2)CCO3)C1,O=S(=O)(N[C@H]1C=CC=C(F)C1)c1cc2cc(c1Cl)O2,0.94813,0.231884,4.7142,2.9059,301.73,True,final_batch
83,11,Cc1ccc([C@]2(C)NC(=O)N(CC(=O)Nc3cccc(OC(F)(F)F)c3)C2=O)cc1,CC1Cc2cc3ccc2OC(C1)C3Cc1ccncc1C(N)=O,0.94792,0.115789,4.7932,2.8501,308.38,True,final_batch
94,46,C[NH2+]C[C@@H]1C[C@@H]1c1c(F)cccc1Cl,CS(=O)(=O)Nc1ccc(F)cc1-c1cc(Cl)ccn1,0.947903,0.126984,2.1922,2.9126,300.74,True,final_batch
95,29,O=S(=O)(NC[C@H](O)c1ccc(C(F)(F)F)cc1)c1cc(F)ccc1F,Cc1c#cc(S(=O)(=O)C2CCNC=C2c2ccccc2)cc1,0.947895,0.078947,4.2532,2.7721,311.41,True,final_batch
93,17,CCOC(=O)C(C)(C)c1nc(-c2ccccc2)no1,C[N+]C1CNC(c2c(F)cccc2Cl)N(c2ccco2)C1,0.947874,0.075949,4.3254,2.7833,308.76,True,final_batch
82,24,CN1CCN(S(=O)(=O)c2cc(C(=O)Nc3ccc(Cl)c(Cl)c3)ccc2F)CC1,C=C1c2c(F)cccc2CC1C(=O)NC(C)c1cnc(C)nc1,0.947846,0.17284,3.5413,2.987,311.36,True,final_batch
93,13,CCOC(=O)C(C)(C)c1nc(-c2ccccc2)no1,CCN1CNC(c2c(F)cccc2F)N(c2ccco2)C1=O,0.947826,0.123288,3.5738,3.0656,307.3,True,final_batch
94,44,C[NH2+]C[C@@H]1C[C@@H]1c1c(F)cccc1Cl,NCS(=O)(=O)c1ccc(Cl)cc1-c1ccccc1F,0.947791,0.196429,2.2264,2.836,299.75,True,final_batch
