SMILES,mol_id,qed,sim
CC(=O)NCC1=NC2(C)c3cnn(C4=CC=C(C)CC=C4)c3CC12,0,0.9297245961949518,0.25301204819277107
CC(=O)NCC1=NC(=O)c2cnn(-c3ccc(C)c(C)c3)c2CC1,0,0.9396572919644846,0.4
CC(=O)NCC1=C=Nc2c(cnn2-c2ccc(C)c(Cl)c2)C(=O)C1,0,0.9313601628821647,0.4714285714285714
CC(=O)NCC1CC(C)c2cnn3c4c(c1cc23)=CCC(C)=CC=4,0,0.919148225780034,0.24390243902439024
CC(=O)NCN1CC2(C)c3cnn(-c4ccc(C)c(C)c4)c3CC12,0,0.9403386209468276,0.4084507042253521
CC(=O)NCC1CC2(C)C1=Cc1c2cnn1-c1ccc(C)c(C)c1,0,0.9426682469616587,0.3835616438356164
CC(=O)NCN1CCc2c(cnn2-c2ccc(C)c(C)c2)C(C)C1,0,0.94289338462898,0.42857142857142855
CC(=O)NCN1CCc2c(cnn2-c2ccc(C)c(Cl)c2)C(C)C1,0,0.9292951632535257,0.5223880597014925
CC(=O)NCC1=NC(C)c2cnn(-c3ccc(C)c(C)c3)c2CC1,0,0.9430233715220835,0.4142857142857143
CC(=O)NCC1C=Nc2c(cnn2-c2ccc(C)c(Cl)c2)C(=O)C1,0,0.9296616323022283,0.4927536231884058
CC(=O)NCC1C=Cc2c(cnn2-c2ccc(C)c(C)c2)C(=O)C1,0,0.9444571132795136,0.3888888888888889
CC(=O)NCC1C=Cc2c(cnn2-c2ccc(C)c(Cl)c2)C(=O)C1,0,0.9304548120603515,0.4927536231884058
CC(=O)NCC1=NC2(C)c3cnn(-c4ccc(C)c(C)c4)c3CC12,0,0.9435091575615652,0.4027777777777778
CC(=O)NCC1=C=Nc2c(cnn2-c2ccc(C)c(C)c2)C(=O)C1,0,0.9426932476202331,0.3698630136986301
CCN(C(=O)C1CCCCO1)c1ccc(F)c(Cl)c1O,1,0.9330341227406675,0.12790697674418605
C[C@@H](C(=O)C1=c2ccccc2=[NH+]C1)[C@@H]1CCC[C@@H]1[C@@H]1CC=CS1,1,0.9011237173748327,0.6190476190476191
CCC[C@H]1C[NH+]=c2ccccc2=CC(=O)[C@H](C)[C@@H]1[C@@H]1CC=CS1,1,0.9101863764865458,0.3116883116883117
CCN(C(=O)C1CCCCO1)c1ccc(C)c(Cl)c1O,1,0.9312803514256852,0.12941176470588237
C[C@@H](C(=O)C=c1ccc2cc1=[NH+]C2)[C@@H]1CCC[C@@H]1[C@@H]1CC=CS1,1,0.904747551003155,0.36363636363636365
CCN(CC1CCCC1C)C(=O)c1cccc(Cl)c1O,1,0.9136608790874142,0.15853658536585366
C[C@@H](C(=O)C1=c2ccccc2=[NH+][C]1)[C@@H]1CCC[C@@H]1[C@@H]1CC=CS1,1,0.9031353915238779,0.4305555555555556
CCC[C@H]1[C]2[NH+]=c3ccccc3=C2C(=O)[C@H](C)[C@@H]1[C@@H]1CC=CS1,1,0.9095556705663945,0.3157894736842105
CCN(CC1CCCC1=O)C(=O)c1cccc(Cl)c1O,1,0.9290070534833736,0.1566265060240964
CCC[C@H]1C2[NH+]=c3cc2ccc3=CC(=O)[C@H](C)[C@@H]1[C@@H]1CC=CS1,1,0.9124136948692841,0.24096385542168675
C[C@@H](C(=O)C=c1ccc2cc1=[NH+][C]2)[C@@H]1CCC[C@@H]1[C@@H]1CC=CS1,1,0.9024962934031325,0.30864197530864196
CCC[C@H]1[C][NH+]=c2ccccc2=CC(=O)[C@H](C)[C@@H]1[C@@H]1CC=CS1,1,0.9120573837282592,0.2911392405063291
Cc1ccccc1CS(=O)(=O)[C]c1cccc(O)c1Cl,2,0.9420177721138833,0.1232876712328767
CCN(CC1CCCC1)C(=O)c1ccnc(C)c1N,2,0.9060133065203675,0.4166666666666667
CCN(C(=O)c1ccnc(C)c1Br)C1CCCN1,2,0.9315346375232032,0.2714285714285714
Cc1ccccc1CS(=O)(=O)Cc1cccc(O)c1Cl,2,0.9404653855256491,0.14925373134328357
Cc1ccccc1CS(=O)(=O)Cc1cccc(O)c1F,2,0.9429127057344978,0.11594202898550725
CCN(C[C@@H]1CC[CH]N1)C(=O)c1ccnc(C)c1Br,2,0.9252170820262716,0.36363636363636365
CCN(CC1CC[CH]N1)C(=O)c1ccnc(C)c1Cl,2,0.9212338768971124,0.40625
CCN(C[C@@H]1CCNC1)C(=O)c1ccnc(C)c1Br,2,0.9228149914148346,0.38461538461538464
CCN(CC1CC[CH]N1)C(=O)c1ccnc(C)c1Br,2,0.9252170820262716,0.36363636363636365
Cc1ccccc1CS(=O)(=O)[N-]c1cccc(O)c1Cl,2,0.9310961926868889,0.1232876712328767
CCN(CC1CCNC1)C(=O)c1ccnc(C)c1Br,2,0.9228149914148346,0.38461538461538464
CCN(CC1CC[NH2+]C1)C(=O)c1ccnc(C)c1Br,2,0.9033754254627749,0.38461538461538464
CCOC(=O)NS(=O)c1c(Cl)cccc1Cl,3,0.9269958720446428,0.18867924528301888
